,BTC,ETH,SP500,NASDAQ,VIX,GOLD,DXY,US10Y
Ticker,BTC-USD,ETH-USD,^GSPC,^NDX,^VIX,GC=F,DX-Y.NYB,^TNX
Date,,,,,,,,
2015-04-10,-0.031702583387589446,,0.005189376899456221,0.0040946998519804274,-0.03974034637104448,0.009173611346904613,0.0023167547406326007,-0.003581466926683183
2015-04-11,0.0020311955561355304,,,,,,,
2015-04-12,-0.0016881656356903948,,,,,,,
2015-04-13,-0.05021671457956225,,,,,,,
2015-04-14,-0.024465706767396074,,0.00162843225851382,-0.0026274617477376858,-0.01955871891376825,-0.005434568565282116,-0.007364429021955488,-0.018215422261110996
2015-04-15,0.02110272663610571,,0.005134989044995592,0.00609594508949026,-0.06263834617137358,0.00726725079027736,-0.004363498693910646,-0.00210308578557585
2015-04-16,0.02095542078043026,,-0.0007787467579851993,-0.0012890367255420187,-0.018868465912800163,-0.002917276501128989,-0.009297677830664637,-0.011646481666073757
2015-04-17,-0.025213125195807665,,-0.01137570418905323,-0.015285465112057452,0.09747233725070595,0.004081828620635487,0.0010259411670620867,-0.015021739980250564
2015-04-18,0.0021244232660850323,,,,,,,
2015-04-19,-0.003390457413689029,,,,,,,
2015-04-20,0.009060362216785637,,,,,,,
2015-04-21,0.0462926999365405,,-0.001481702504767951,0.004197290898711813,-0.003766497136443946,0.007845161517145236,0.00040833927010335686,0.011020855559124569
2015-04-22,-0.004656580910825517,,0.005074582853386292,0.005581820518321056,-0.041608464229533175,-0.013390441663967216,0.000408094762120937,0.02880857360291685
2015-04-23,0.009714594733087079,,0.0023549408425523675,0.0036383983171259945,-0.0182617619411985,0.006299101033358327,-0.007578099564455141,-0.01275851752631929
2015-04-24,-0.022210307810530832,,0.0022502668247534868,0.013248686614171171,-0.015341405787459452,-0.016205683354533523,-0.0037075286136195747,-0.01552824718744439
2015-04-25,-0.02131806137951217,,,,,,,
2015-04-26,-0.031225931376802334,,,,,,,
2015-04-27,0.043936871246002325,,,,,,,
2015-04-28,-0.01507693138911128,,0.0027654044373465075,-0.0021614354533330037,-0.05563518787235546,0.008852869596814293,-0.007051780025101189,0.02514888704432535
2015-04-29,-0.00020810680116101977,,-0.003747348127573222,-0.006024421707928453,0.07600559842235986,-0.0034655955861370943,-0.010145932920490125,0.030940608896469237
2015-04-30,0.04476096650210979,,-0.010180553033248205,-0.016602624162312712,0.08308282138311034,-0.022908805191481592,-0.0054818213294078435,0.005390808322100751
2015-05-01,-0.01736823289978208,,0.010863776563455257,0.014575271863662963,-0.13598902828037443,-0.006703766742857445,0.007372382754763962,0.03411337141108235
2015-05-02,0.012209757927328984,,,,,,,
2015-05-03,0.022841919434434907,,,,,,,
2015-05-04,-0.005590600314613073,,,,,,,
2015-05-05,-0.012194490570728496,,-0.0119080033585301,-0.016469046671351104,0.10761478186408993,0.005378082159257571,-0.003672488282644516,0.019021741125376794
2015-05-06,-0.02721337153245333,,-0.004465681140931977,-0.0067447437683984075,0.05704188388417954,-0.002433315523067671,-0.010567571965960327,0.028987486785316968
2015-05-07,0.032337406914244825,,0.003766710469475405,0.004965062110650717,-0.0013209714117521246,-0.006659125353704526,0.0051921228499773,-0.025317805255139436
2015-05-08,0.0271381890420925,,0.013368147987361164,0.012889300481876882,-0.16255784325158099,0.005650406070161,0.001795028892929075,-0.01569017837276824
2015-05-09,-0.00836334599719275,,,,,,,
2015-05-10,-0.0063717546420386335,,,,,,,
2015-05-11,0.007718906748170874,,,,,,,
2015-05-12,-0.004328871534384656,,-0.002953996439367266,-0.00406133200829265,0.0007217088147076654,0.007913186088978619,-0.005064940179028701,-0.00617555522969057
2015-05-13,-0.019833570375609212,,-0.0003050012906516677,0.0013360499310504884,-0.00724111985194358,0.02140276540104405,-0.0096731663144184,0.009687470793477081
2015-05-14,0.002332538373417759,,0.010721604261760033,0.015351803409369818,-0.07701921696064191,0.005728798596137671,-0.0027810706935668256,-0.019022905610621817
2015-05-15,0.002849091256635625,,0.0007681188278664758,-0.00016686449273127524,-0.028664355677943884,8.158275327200206e-05,-0.0023592635147377567,-0.04475634949494829
2015-05-16,-0.006129713522271202,,,,,,,
2015-05-17,0.002744457633568561,,,,,,,
2015-05-18,-0.015636672562722796,,,,,,,
2015-05-19,-0.005078760472612182,,-0.0006435815978420154,-0.002047315311050636,0.009382464417714065,-0.01716888090960008,0.011400885727947958,0.015145126117440852
2015-05-20,0.008889134295103438,,-0.0009309494507940488,0.00035066852033007996,0.0023318885337834856,0.0016557665506276972,0.0018875877167488446,-0.00487488506941
2015-05-21,0.005650190252098664,,0.0023351459087448084,0.0053505441239040845,-0.06164420034672275,-0.003729337524911823,-0.0019925004014613467,-0.029758727366206054
2015-05-22,0.021039654392675935,,-0.0022363851494835974,-0.0005101364523433303,0.0016502031758452804,-8.301206705275282e-05,0.007842357161638872,0.013636562387651652
2015-05-23,-0.006160084501103912,,,,,,,
2015-05-24,0.008674087312006046,,,,,,,
2015-05-25,-0.016077734830484965,,,,,,,
2015-05-26,2.529049072865961e-05,,,,,,,
2015-05-27,0.0007040801201424068,,0.009120918929110081,0.016210563514810226,-0.0578280333869863,-0.0010955517266055808,0.0007191626419705009,-0.0009363733948481196
2015-05-28,0.0005266583962282316,,-0.0012675639174870542,-0.002290294491293461,0.003009781093195853,0.0018533713577155101,-0.004116518293430361,-0.0023446087642663943
2015-05-29,-0.0013151069966266735,,-0.006338515184097658,-0.006061590551813731,0.03904729728121657,0.0010936268834478497,-0.0006189143696918625,-0.016568466418927695
2015-05-30,-0.015947042706826734,,,,,,,
2015-05-31,-0.013612984892928127,,,,,,,
2015-06-01,-0.032065210637688614,,,,,,,
2015-06-02,0.012823055324273793,,-0.0010091051653478204,-0.0028701899286550717,0.019142697527350715,0.004868987707043961,-0.01604343354953991,0.03320184785584628
2015-06-03,0.00031438017957116854,,0.0021166294697559994,0.0024299558544053357,-0.041583046938439616,-0.007903206348653132,-0.0038680213602913203,0.04318456203813836
2015-06-04,-0.006885832118475905,,-0.008660562215101069,-0.007290024592517056,0.07405569423438678,-0.008306478391888725,-0.00010477280913042816,-0.025252793659056857
2015-06-05,0.002795569450765387,,-0.0014372152327325357,-0.0021953606676683077,-0.034581592413088925,-0.00606137969172326,0.008864828236255447,0.04035375771783332
2015-06-06,0.0029607228818376284,,,,,,,
2015-06-07,-0.012209768590979025,,,,,,,
2015-06-08,0.024850080233436732,,,,,,,
2015-06-09,0.002443544510369354,,0.00041826551900276467,-0.000880426669698167,-0.0551214583487213,0.0034887060751304954,-0.0013650958383770895,0.015006539478098364
2015-06-10,-0.0010702625984199304,,0.011970491752514406,0.012981141437247596,-0.09034670447496197,0.007446870892935644,-0.0054788530678120465,0.02492462858177341
2015-06-11,0.003934540853908535,,0.0017371167565281324,0.0006708886653210471,-0.028387013594802463,-0.005240883654242222,0.0034804846879498454,-0.039091598293038446
2015-06-12,0.0012051366843483038,,-0.007018874653102703,-0.00775650644679262,0.06987440517992623,-0.0009326965120805852,-0.00010531335613230182,0.0008389654465625229
2015-06-13,0.010467578165980995,,,,,,,
2015-06-14,0.004897611391449256,,,,,,,
2015-06-15,0.013946807230271138,,,,,,,
